target,age_grp,forecast_week,bin_start_incl
Season peak week,0-4 yr,NA,7.0
Season peak rate,0-4 yr,NA,4.2
Season peak week,18-49 yr,NA,8.0
Season peak rate,18-49 yr,NA,1.7
Season peak week,5-17 yr,NA,7.0
Season peak rate,5-17 yr,NA,1.8
Season peak week,50-64 yr,NA,8.0
Season peak rate,50-64 yr,NA,5.5
Season peak week,65 + yr,NA,8.0
Season peak rate,65 + yr,NA,24.8
Season peak week,Overall,NA,8.0
Season peak rate,Overall,NA,5.6
1 wk ahead,0-4 yr,48,0.6
1 wk ahead,5-17 yr,48,0.1
1 wk ahead,18-49 yr,48,0.2
1 wk ahead,50-64 yr,48,0.6
1 wk ahead,65 + yr,48,2.7
1 wk ahead,Overall,48,0.6
1 wk ahead,0-4 yr,49,0.5
1 wk ahead,5-17 yr,49,0.2
1 wk ahead,18-49 yr,49,0.4
1 wk ahead,50-64 yr,49,1.1
1 wk ahead,65 + yr,49,3.4
1 wk ahead,Overall,49,0.9
1 wk ahead,0-4 yr,50,1.6
1 wk ahead,5-17 yr,50,0.3
1 wk ahead,18-49 yr,50,0.5
1 wk ahead,50-64 yr,50,1.5
1 wk ahead,65 + yr,50,7.6
1 wk ahead,Overall,50,1.7
1 wk ahead,0-4 yr,51,1.4
1 wk ahead,5-17 yr,51,0.3
1 wk ahead,18-49 yr,51,0.9
1 wk ahead,50-64 yr,51,3.0
1 wk ahead,65 + yr,51,17.4
1 wk ahead,Overall,51,3.4
1 wk ahead,0-4 yr,52,1.3
1 wk ahead,5-17 yr,52,0.3
1 wk ahead,18-49 yr,52,1.1
1 wk ahead,50-64 yr,52,4.2
1 wk ahead,65 + yr,52,23.0
1 wk ahead,Overall,52,4.4
1 wk ahead,0-4 yr,1,1.6
1 wk ahead,5-17 yr,1,0.8
1 wk ahead,18-49 yr,1,1.1
1 wk ahead,50-64 yr,1,4.1
1 wk ahead,65 + yr,1,19.3
1 wk ahead,Overall,1,4.0
1 wk ahead,0-4 yr,2,1.8
1 wk ahead,5-17 yr,2,0.9
1 wk ahead,18-49 yr,2,1.2
1 wk ahead,50-64 yr,2,3.9
1 wk ahead,65 + yr,2,18.7
1 wk ahead,Overall,2,4.0
1 wk ahead,0-4 yr,3,2.2
1 wk ahead,5-17 yr,3,0.8
1 wk ahead,18-49 yr,3,1.1
1 wk ahead,50-64 yr,3,3.5
1 wk ahead,65 + yr,3,15.6
1 wk ahead,Overall,3,3.5
1 wk ahead,0-4 yr,4,2.6
1 wk ahead,5-17 yr,4,1.1
1 wk ahead,18-49 yr,4,1.3
1 wk ahead,50-64 yr,4,3.4
1 wk ahead,65 + yr,4,17.8
1 wk ahead,Overall,4,3.9
1 wk ahead,0-4 yr,5,3.5
1 wk ahead,5-17 yr,5,1.4
1 wk ahead,18-49 yr,5,1.4
1 wk ahead,50-64 yr,5,5.0
1 wk ahead,65 + yr,5,21.5
1 wk ahead,Overall,5,4.9
1 wk ahead,0-4 yr,6,4.2
1 wk ahead,5-17 yr,6,1.8
1 wk ahead,18-49 yr,6,1.5
1 wk ahead,50-64 yr,6,5.1
1 wk ahead,65 + yr,6,22.7
1 wk ahead,Overall,6,5.2
1 wk ahead,0-4 yr,7,4.1
1 wk ahead,5-17 yr,7,1.6
1 wk ahead,18-49 yr,7,1.7
1 wk ahead,50-64 yr,7,5.5
1 wk ahead,65 + yr,7,24.8
1 wk ahead,Overall,7,5.6
1 wk ahead,0-4 yr,8,3.0
1 wk ahead,5-17 yr,8,0.6
1 wk ahead,18-49 yr,8,1.0
1 wk ahead,50-64 yr,8,3.3
1 wk ahead,65 + yr,8,15.5
1 wk ahead,Overall,8,3.4
1 wk ahead,0-4 yr,9,2.2
1 wk ahead,5-17 yr,9,1.2
1 wk ahead,18-49 yr,9,0.8
1 wk ahead,50-64 yr,9,3.4
1 wk ahead,65 + yr,9,13.3
1 wk ahead,Overall,9,3.1
1 wk ahead,0-4 yr,10,2.5
1 wk ahead,5-17 yr,10,1.1
1 wk ahead,18-49 yr,10,1.0
1 wk ahead,50-64 yr,10,3.0
1 wk ahead,65 + yr,10,12.2
1 wk ahead,Overall,10,3.0
1 wk ahead,0-4 yr,11,2.9
1 wk ahead,5-17 yr,11,1.1
1 wk ahead,18-49 yr,11,1.1
1 wk ahead,50-64 yr,11,3.3
1 wk ahead,65 + yr,11,13.3
1 wk ahead,Overall,11,3.2
1 wk ahead,0-4 yr,12,1.8
1 wk ahead,5-17 yr,12,1.2
1 wk ahead,18-49 yr,12,1.1
1 wk ahead,50-64 yr,12,3.6
1 wk ahead,65 + yr,12,11.5
1 wk ahead,Overall,12,3.0
1 wk ahead,0-4 yr,13,2.1
1 wk ahead,5-17 yr,13,0.6
1 wk ahead,18-49 yr,13,0.7
1 wk ahead,50-64 yr,13,2.1
1 wk ahead,65 + yr,13,9.3
1 wk ahead,Overall,13,2.2
1 wk ahead,0-4 yr,14,1.1
1 wk ahead,5-17 yr,14,0.5
1 wk ahead,18-49 yr,14,0.3
1 wk ahead,50-64 yr,14,1.5
1 wk ahead,65 + yr,14,6.9
1 wk ahead,Overall,14,1.5
1 wk ahead,0-4 yr,15,1.0
1 wk ahead,5-17 yr,15,0.4
1 wk ahead,18-49 yr,15,0.3
1 wk ahead,50-64 yr,15,1.2
1 wk ahead,65 + yr,15,4.1
1 wk ahead,Overall,15,1.0
1 wk ahead,0-4 yr,16,0.6
1 wk ahead,5-17 yr,16,0.2
1 wk ahead,18-49 yr,16,0.2
1 wk ahead,50-64 yr,16,0.8
1 wk ahead,65 + yr,16,2.7
1 wk ahead,Overall,16,0.7
2 wk ahead,0-4 yr,48,0.5
2 wk ahead,5-17 yr,48,0.2
2 wk ahead,18-49 yr,48,0.4
2 wk ahead,50-64 yr,48,1.1
2 wk ahead,65 + yr,48,3.4
2 wk ahead,Overall,48,0.9
2 wk ahead,0-4 yr,49,1.6
2 wk ahead,5-17 yr,49,0.3
2 wk ahead,18-49 yr,49,0.5
2 wk ahead,50-64 yr,49,1.5
2 wk ahead,65 + yr,49,7.6
2 wk ahead,Overall,49,1.7
2 wk ahead,0-4 yr,50,1.4
2 wk ahead,5-17 yr,50,0.3
2 wk ahead,18-49 yr,50,0.9
2 wk ahead,50-64 yr,50,3.0
2 wk ahead,65 + yr,50,17.4
2 wk ahead,Overall,50,3.4
2 wk ahead,0-4 yr,51,1.3
2 wk ahead,5-17 yr,51,0.3
2 wk ahead,18-49 yr,51,1.1
2 wk ahead,50-64 yr,51,4.2
2 wk ahead,65 + yr,51,23.0
2 wk ahead,Overall,51,4.4
2 wk ahead,0-4 yr,52,1.6
2 wk ahead,5-17 yr,52,0.8
2 wk ahead,18-49 yr,52,1.1
2 wk ahead,50-64 yr,52,4.1
2 wk ahead,65 + yr,52,19.3
2 wk ahead,Overall,52,4.0
2 wk ahead,0-4 yr,1,1.8
2 wk ahead,5-17 yr,1,0.9
2 wk ahead,18-49 yr,1,1.2
2 wk ahead,50-64 yr,1,3.9
2 wk ahead,65 + yr,1,18.7
2 wk ahead,Overall,1,4.0
2 wk ahead,0-4 yr,2,2.2
2 wk ahead,5-17 yr,2,0.8
2 wk ahead,18-49 yr,2,1.1
2 wk ahead,50-64 yr,2,3.5
2 wk ahead,65 + yr,2,15.6
2 wk ahead,Overall,2,3.5
2 wk ahead,0-4 yr,3,2.6
2 wk ahead,5-17 yr,3,1.1
2 wk ahead,18-49 yr,3,1.3
2 wk ahead,50-64 yr,3,3.4
2 wk ahead,65 + yr,3,17.8
2 wk ahead,Overall,3,3.9
2 wk ahead,0-4 yr,4,3.5
2 wk ahead,5-17 yr,4,1.4
2 wk ahead,18-49 yr,4,1.4
2 wk ahead,50-64 yr,4,5.0
2 wk ahead,65 + yr,4,21.5
2 wk ahead,Overall,4,4.9
2 wk ahead,0-4 yr,5,4.2
2 wk ahead,5-17 yr,5,1.8
2 wk ahead,18-49 yr,5,1.5
2 wk ahead,50-64 yr,5,5.1
2 wk ahead,65 + yr,5,22.7
2 wk ahead,Overall,5,5.2
2 wk ahead,0-4 yr,6,4.1
2 wk ahead,5-17 yr,6,1.6
2 wk ahead,18-49 yr,6,1.7
2 wk ahead,50-64 yr,6,5.5
2 wk ahead,65 + yr,6,24.8
2 wk ahead,Overall,6,5.6
2 wk ahead,0-4 yr,7,3.0
2 wk ahead,5-17 yr,7,0.6
2 wk ahead,18-49 yr,7,1.0
2 wk ahead,50-64 yr,7,3.3
2 wk ahead,65 + yr,7,15.5
2 wk ahead,Overall,7,3.4
2 wk ahead,0-4 yr,8,2.2
2 wk ahead,5-17 yr,8,1.2
2 wk ahead,18-49 yr,8,0.8
2 wk ahead,50-64 yr,8,3.4
2 wk ahead,65 + yr,8,13.3
2 wk ahead,Overall,8,3.1
2 wk ahead,0-4 yr,9,2.5
2 wk ahead,5-17 yr,9,1.1
2 wk ahead,18-49 yr,9,1.0
2 wk ahead,50-64 yr,9,3.0
2 wk ahead,65 + yr,9,12.2
2 wk ahead,Overall,9,3.0
2 wk ahead,0-4 yr,10,2.9
2 wk ahead,5-17 yr,10,1.1
2 wk ahead,18-49 yr,10,1.1
2 wk ahead,50-64 yr,10,3.3
2 wk ahead,65 + yr,10,13.3
2 wk ahead,Overall,10,3.2
2 wk ahead,0-4 yr,11,1.8
2 wk ahead,5-17 yr,11,1.2
2 wk ahead,18-49 yr,11,1.1
2 wk ahead,50-64 yr,11,3.6
2 wk ahead,65 + yr,11,11.5
2 wk ahead,Overall,11,3.0
2 wk ahead,0-4 yr,12,2.1
2 wk ahead,5-17 yr,12,0.6
2 wk ahead,18-49 yr,12,0.7
2 wk ahead,50-64 yr,12,2.1
2 wk ahead,65 + yr,12,9.3
2 wk ahead,Overall,12,2.2
2 wk ahead,0-4 yr,13,1.1
2 wk ahead,5-17 yr,13,0.5
2 wk ahead,18-49 yr,13,0.3
2 wk ahead,50-64 yr,13,1.5
2 wk ahead,65 + yr,13,6.9
2 wk ahead,Overall,13,1.5
2 wk ahead,0-4 yr,14,1.0
2 wk ahead,5-17 yr,14,0.4
2 wk ahead,18-49 yr,14,0.3
2 wk ahead,50-64 yr,14,1.2
2 wk ahead,65 + yr,14,4.1
2 wk ahead,Overall,14,1.0
2 wk ahead,0-4 yr,15,0.6
2 wk ahead,5-17 yr,15,0.2
2 wk ahead,18-49 yr,15,0.2
2 wk ahead,50-64 yr,15,0.8
2 wk ahead,65 + yr,15,2.7
2 wk ahead,Overall,15,0.7
3 wk ahead,0-4 yr,48,1.6
3 wk ahead,5-17 yr,48,0.3
3 wk ahead,18-49 yr,48,0.5
3 wk ahead,50-64 yr,48,1.5
3 wk ahead,65 + yr,48,7.6
3 wk ahead,Overall,48,1.7
3 wk ahead,0-4 yr,49,1.4
3 wk ahead,5-17 yr,49,0.3
3 wk ahead,18-49 yr,49,0.9
3 wk ahead,50-64 yr,49,3.0
3 wk ahead,65 + yr,49,17.4
3 wk ahead,Overall,49,3.4
3 wk ahead,0-4 yr,50,1.3
3 wk ahead,5-17 yr,50,0.3
3 wk ahead,18-49 yr,50,1.1
3 wk ahead,50-64 yr,50,4.2
3 wk ahead,65 + yr,50,23.0
3 wk ahead,Overall,50,4.4
3 wk ahead,0-4 yr,51,1.6
3 wk ahead,5-17 yr,51,0.8
3 wk ahead,18-49 yr,51,1.1
3 wk ahead,50-64 yr,51,4.1
3 wk ahead,65 + yr,51,19.3
3 wk ahead,Overall,51,4.0
3 wk ahead,0-4 yr,52,1.8
3 wk ahead,5-17 yr,52,0.9
3 wk ahead,18-49 yr,52,1.2
3 wk ahead,50-64 yr,52,3.9
3 wk ahead,65 + yr,52,18.7
3 wk ahead,Overall,52,4.0
3 wk ahead,0-4 yr,1,2.2
3 wk ahead,5-17 yr,1,0.8
3 wk ahead,18-49 yr,1,1.1
3 wk ahead,50-64 yr,1,3.5
3 wk ahead,65 + yr,1,15.6
3 wk ahead,Overall,1,3.5
3 wk ahead,0-4 yr,2,2.6
3 wk ahead,5-17 yr,2,1.1
3 wk ahead,18-49 yr,2,1.3
3 wk ahead,50-64 yr,2,3.4
3 wk ahead,65 + yr,2,17.8
3 wk ahead,Overall,2,3.9
3 wk ahead,0-4 yr,3,3.5
3 wk ahead,5-17 yr,3,1.4
3 wk ahead,18-49 yr,3,1.4
3 wk ahead,50-64 yr,3,5.0
3 wk ahead,65 + yr,3,21.5
3 wk ahead,Overall,3,4.9
3 wk ahead,0-4 yr,4,4.2
3 wk ahead,5-17 yr,4,1.8
3 wk ahead,18-49 yr,4,1.5
3 wk ahead,50-64 yr,4,5.1
3 wk ahead,65 + yr,4,22.7
3 wk ahead,Overall,4,5.2
3 wk ahead,0-4 yr,5,4.1
3 wk ahead,5-17 yr,5,1.6
3 wk ahead,18-49 yr,5,1.7
3 wk ahead,50-64 yr,5,5.5
3 wk ahead,65 + yr,5,24.8
3 wk ahead,Overall,5,5.6
3 wk ahead,0-4 yr,6,3.0
3 wk ahead,5-17 yr,6,0.6
3 wk ahead,18-49 yr,6,1.0
3 wk ahead,50-64 yr,6,3.3
3 wk ahead,65 + yr,6,15.5
3 wk ahead,Overall,6,3.4
3 wk ahead,0-4 yr,7,2.2
3 wk ahead,5-17 yr,7,1.2
3 wk ahead,18-49 yr,7,0.8
3 wk ahead,50-64 yr,7,3.4
3 wk ahead,65 + yr,7,13.3
3 wk ahead,Overall,7,3.1
3 wk ahead,0-4 yr,8,2.5
3 wk ahead,5-17 yr,8,1.1
3 wk ahead,18-49 yr,8,1.0
3 wk ahead,50-64 yr,8,3.0
3 wk ahead,65 + yr,8,12.2
3 wk ahead,Overall,8,3.0
3 wk ahead,0-4 yr,9,2.9
3 wk ahead,5-17 yr,9,1.1
3 wk ahead,18-49 yr,9,1.1
3 wk ahead,50-64 yr,9,3.3
3 wk ahead,65 + yr,9,13.3
3 wk ahead,Overall,9,3.2
3 wk ahead,0-4 yr,10,1.8
3 wk ahead,5-17 yr,10,1.2
3 wk ahead,18-49 yr,10,1.1
3 wk ahead,50-64 yr,10,3.6
3 wk ahead,65 + yr,10,11.5
3 wk ahead,Overall,10,3.0
3 wk ahead,0-4 yr,11,2.1
3 wk ahead,5-17 yr,11,0.6
3 wk ahead,18-49 yr,11,0.7
3 wk ahead,50-64 yr,11,2.1
3 wk ahead,65 + yr,11,9.3
3 wk ahead,Overall,11,2.2
3 wk ahead,0-4 yr,12,1.1
3 wk ahead,5-17 yr,12,0.5
3 wk ahead,18-49 yr,12,0.3
3 wk ahead,50-64 yr,12,1.5
3 wk ahead,65 + yr,12,6.9
3 wk ahead,Overall,12,1.5
3 wk ahead,0-4 yr,13,1.0
3 wk ahead,5-17 yr,13,0.4
3 wk ahead,18-49 yr,13,0.3
3 wk ahead,50-64 yr,13,1.2
3 wk ahead,65 + yr,13,4.1
3 wk ahead,Overall,13,1.0
3 wk ahead,0-4 yr,14,0.6
3 wk ahead,5-17 yr,14,0.2
3 wk ahead,18-49 yr,14,0.2
3 wk ahead,50-64 yr,14,0.8
3 wk ahead,65 + yr,14,2.7
3 wk ahead,Overall,14,0.7
4 wk ahead,0-4 yr,48,1.4
4 wk ahead,5-17 yr,48,0.3
4 wk ahead,18-49 yr,48,0.9
4 wk ahead,50-64 yr,48,3.0
4 wk ahead,65 + yr,48,17.4
4 wk ahead,Overall,48,3.4
4 wk ahead,0-4 yr,49,1.3
4 wk ahead,5-17 yr,49,0.3
4 wk ahead,18-49 yr,49,1.1
4 wk ahead,50-64 yr,49,4.2
4 wk ahead,65 + yr,49,23.0
4 wk ahead,Overall,49,4.4
4 wk ahead,0-4 yr,50,1.6
4 wk ahead,5-17 yr,50,0.8
4 wk ahead,18-49 yr,50,1.1
4 wk ahead,50-64 yr,50,4.1
4 wk ahead,65 + yr,50,19.3
4 wk ahead,Overall,50,4.0
4 wk ahead,0-4 yr,51,1.8
4 wk ahead,5-17 yr,51,0.9
4 wk ahead,18-49 yr,51,1.2
4 wk ahead,50-64 yr,51,3.9
4 wk ahead,65 + yr,51,18.7
4 wk ahead,Overall,51,4.0
4 wk ahead,0-4 yr,52,2.2
4 wk ahead,5-17 yr,52,0.8
4 wk ahead,18-49 yr,52,1.1
4 wk ahead,50-64 yr,52,3.5
4 wk ahead,65 + yr,52,15.6
4 wk ahead,Overall,52,3.5
4 wk ahead,0-4 yr,1,2.6
4 wk ahead,5-17 yr,1,1.1
4 wk ahead,18-49 yr,1,1.3
4 wk ahead,50-64 yr,1,3.4
4 wk ahead,65 + yr,1,17.8
4 wk ahead,Overall,1,3.9
4 wk ahead,0-4 yr,2,3.5
4 wk ahead,5-17 yr,2,1.4
4 wk ahead,18-49 yr,2,1.4
4 wk ahead,50-64 yr,2,5.0
4 wk ahead,65 + yr,2,21.5
4 wk ahead,Overall,2,4.9
4 wk ahead,0-4 yr,3,4.2
4 wk ahead,5-17 yr,3,1.8
4 wk ahead,18-49 yr,3,1.5
4 wk ahead,50-64 yr,3,5.1
4 wk ahead,65 + yr,3,22.7
4 wk ahead,Overall,3,5.2
4 wk ahead,0-4 yr,4,4.1
4 wk ahead,5-17 yr,4,1.6
4 wk ahead,18-49 yr,4,1.7
4 wk ahead,50-64 yr,4,5.5
4 wk ahead,65 + yr,4,24.8
4 wk ahead,Overall,4,5.6
4 wk ahead,0-4 yr,5,3.0
4 wk ahead,5-17 yr,5,0.6
4 wk ahead,18-49 yr,5,1.0
4 wk ahead,50-64 yr,5,3.3
4 wk ahead,65 + yr,5,15.5
4 wk ahead,Overall,5,3.4
4 wk ahead,0-4 yr,6,2.2
4 wk ahead,5-17 yr,6,1.2
4 wk ahead,18-49 yr,6,0.8
4 wk ahead,50-64 yr,6,3.4
4 wk ahead,65 + yr,6,13.3
4 wk ahead,Overall,6,3.1
4 wk ahead,0-4 yr,7,2.5
4 wk ahead,5-17 yr,7,1.1
4 wk ahead,18-49 yr,7,1.0
4 wk ahead,50-64 yr,7,3.0
4 wk ahead,65 + yr,7,12.2
4 wk ahead,Overall,7,3.0
4 wk ahead,0-4 yr,8,2.9
4 wk ahead,5-17 yr,8,1.1
4 wk ahead,18-49 yr,8,1.1
4 wk ahead,50-64 yr,8,3.3
4 wk ahead,65 + yr,8,13.3
4 wk ahead,Overall,8,3.2
4 wk ahead,0-4 yr,9,1.8
4 wk ahead,5-17 yr,9,1.2
4 wk ahead,18-49 yr,9,1.1
4 wk ahead,50-64 yr,9,3.6
4 wk ahead,65 + yr,9,11.5
4 wk ahead,Overall,9,3.0
4 wk ahead,0-4 yr,10,2.1
4 wk ahead,5-17 yr,10,0.6
4 wk ahead,18-49 yr,10,0.7
4 wk ahead,50-64 yr,10,2.1
4 wk ahead,65 + yr,10,9.3
4 wk ahead,Overall,10,2.2
4 wk ahead,0-4 yr,11,1.1
4 wk ahead,5-17 yr,11,0.5
4 wk ahead,18-49 yr,11,0.3
4 wk ahead,50-64 yr,11,1.5
4 wk ahead,65 + yr,11,6.9
4 wk ahead,Overall,11,1.5
4 wk ahead,0-4 yr,12,1.0
4 wk ahead,5-17 yr,12,0.4
4 wk ahead,18-49 yr,12,0.3
4 wk ahead,50-64 yr,12,1.2
4 wk ahead,65 + yr,12,4.1
4 wk ahead,Overall,12,1.0
4 wk ahead,0-4 yr,13,0.6
4 wk ahead,5-17 yr,13,0.2
4 wk ahead,18-49 yr,13,0.2
4 wk ahead,50-64 yr,13,0.8
4 wk ahead,65 + yr,13,2.7
4 wk ahead,Overall,13,0.7
